Symbol,Prob (AI),Score (Kimi),Price,RSI,Turnover (M),sma50,r_s,r_m,r_l,Verdict,Status
ALKYLAMINE,0.415,40.37,1576.4,47.5,112.7,1592.1139990234376,-0.22784655607199777,-0.3350778859091297,1.9663663915952423,PENDING,PENDING
ALOKINDS,0.506,26.78,15.82,70.1,100.7,15.816200122833251,-3.2415943381027823,5.678018788466699,1.410251974197485,PENDING,PENDING
ARE&M,0.466,50.25,911.7,63.5,292.8,900.0240014648438,2.935531177786932,8.3229353960675,1.6614657244511832,PENDING,PENDING
AMBER,0.519,75.43,7696.0,86.9,2686.2,6428.59,20.438184663536774,37.08585678660492,25.782463021982505,PENDING,PENDING
AMBUJACEM,0.457,45.18,541.25,51.0,1129.6,541.8350018310547,0.8008171515434759,1.367166893169447,0.4733595201755314,PENDING,PENDING
ANANDRATHI,0.483,45.44,3017.1,46.1,775.9,3002.557978515625,2.0738902434360718,4.778610788548354,-4.078966384907023,PENDING,PENDING
ANANTRAJ,0.464,52.72,564.05,61.8,2231.3,543.8479943847656,1.6031636472140676,15.194525645641699,-0.7740389338684706,PENDING,PENDING
ANGELONE,0.446,71.75,2781.1,64.3,2911.4,2529.0368408203126,3.5136095656383093,6.3477493710002,18.45393887854927,PENDING,PENDING
APARINDS,0.44,70.21,9580.0,84.1,1090.6,8409.42,1.0921753812061397,29.258584631990825,21.58903414138851,PENDING,PENDING
APOLLOHOSP,0.371,27.16,7507.0,85.2,3377.0,7101.01,5.4946599213041125,9.153035259905495,3.281282245305084,PENDING,PENDING
APOLLOTYRE,0.479,41.37,509.5,56.4,524.6,505.46564453125,0.07784293661967645,2.4050122178453037,1.8560845104381274,PENDING,PENDING
APTUS,0.521,45.59,258.15,49.0,333.6,276.86399841308594,-5.664169685990672,-5.474189627577164,-5.750273950700569,PENDING,PENDING
ASAHIINDIA,0.465,47.4,979.6,59.2,81.1,984.0640014648437,1.6920988268996018,0.9584652076645384,6.316469462748908,PENDING,PENDING
ASHOKLEY,0.419,37.71,206.35,82.2,3472.4,181.95779968261718,2.70257216009151,5.6417366350062,10.341699462470544,PENDING,PENDING
ASIANPAINT,0.513,22.98,2392.5,23.8,4165.6,2716.857998046875,-2.454436024394757,-4.749583824707071,-17.397456129452195,PENDING,PENDING
ASTERDM,0.476,27.77,600.4,60.9,538.8,596.7580004882813,11.113176930008883,9.233147957029653,-0.11644505079088097,PENDING,PENDING
ASTRAZEN,0.422,23.92,9068.0,83.4,63.9,8746.97,4.61467466543608,7.256490626293699,8.729016786570742,PENDING,PENDING
ASTRAL,0.431,41.05,1592.1,81.5,760.9,1441.7219970703125,6.041025023112789,9.580834801624615,10.662405617593329,PENDING,PENDING
ATHERENERG,0.425,60.42,716.25,72.2,1077.0,671.6539990234374,2.9020921717248127,17.930357914150207,12.036604673290064,PENDING,PENDING
ATUL,0.464,63.55,6664.0,77.4,151.5,6041.75,5.4847645429362935,8.37534558464792,7.640122758843493,PENDING,PENDING
AUROPHARMA,0.488,33.58,1146.6,53.3,2119.3,1187.14798828125,-5.45064552217247,0.5877665609594906,-4.346373380177704,PENDING,PENDING
AIIL,0.45,29.13,500.95,28.5,451.1,559.6439971923828,-0.42734920898449547,-0.2290368218492378,-17.817767863141697,PENDING,PENDING
DMART,0.472,47.51,4003.7,74.0,1508.0,3803.7640087890627,4.691051958611969,7.174023703802268,4.46705678204502,PENDING,PENDING
AXISBANK,0.45,58.98,1347.3,59.6,10904.8,1285.2700024414062,0.6424216008017014,2.083648960645035,5.736940861520212,PENDING,PENDING
BASF,0.468,49.69,3849.7,66.1,76.9,3816.1260009765624,2.4974054492131748,6.286580650797213,5.237687553667092,PENDING,PENDING
BEML,0.469,45.06,1767.6,56.9,628.7,1763.9140112304688,0.18136199997715874,-2.8310703474893617,-1.4550915033969658,PENDING,PENDING
BLS,0.513,46.49,284.6,49.7,1426.3,303.546999206543,-1.6416104716793,7.63994427887158,-3.7863360891319697,PENDING,PENDING
BSE,0.45,66.96,3177.1,79.7,13835.5,2754.9839990234377,9.695129789530599,12.60322869595074,13.850067601037175,PENDING,PENDING
BAJAJ-AUTO,0.469,47.72,9869.5,77.3,2848.6,9339.47,2.391326901130819,4.6218264694970035,3.987988620798655,PENDING,PENDING
BAJFINANCE,0.44,45.68,968.95,58.6,7839.8,978.1690014648437,0.5865280271629025,3.614392013104739,1.7911532047143242,PENDING,PENDING
BAJAJFINSV,0.434,39.67,2027.0,61.0,2301.1,2018.74599609375,0.3664104032243154,4.468378549195973,1.4057719367017496,PENDING,PENDING
BAJAJHLDNG,0.437,29.92,11111.0,72.2,661.5,10982.96,2.0387547065846334,3.802316890881907,3.4062354583527243,PENDING,PENDING
BAJAJHFL,0.435,43.35,91.11,57.3,569.0,93.54159957885742,-0.7948560068026578,2.1870758951873848,-2.545723936036459,PENDING,PENDING
BALKRISIND,0.437,69.31,2679.6,69.9,776.9,2410.0157470703125,0.6044714719823485,11.36607179185798,11.223029106402848,PENDING,PENDING
BALRAMCHIN,0.418,46.07,461.2,83.4,145.8,433.46399841308596,4.4265863422901175,12.652667093992287,10.546500170801876,PENDING,PENDING
BANDHANBNK,0.421,60.86,168.26,83.1,1889.8,148.10980041503908,6.940382879820595,9.722848262070261,17.05856969292936,PENDING,PENDING
BANKBARODA,0.505,46.83,291.2,44.5,2862.0,295.04000183105467,0.12033903942607616,-4.898758785763224,-3.639973380432593,PENDING,PENDING
BANKINDIA,0.455,75.86,167.13,58.5,2650.5,150.64960052490235,3.852614484064598,-0.12548790466930804,14.558918076649974,PENDING,PENDING
MAHABANK,0.453,66.74,66.24,57.9,1276.0,61.10414764404297,1.4084479075988199,1.0063983139480648,5.452633480089375,PENDING,PENDING
BATAINDIA,0.487,51.12,905.0,57.4,170.8,919.6900024414062,5.183632533752003,5.9408838162130495,-0.5330522301563279,PENDING,PENDING
BAYERCROP,0.453,49.36,4762.4,77.4,87.6,4459.198017578125,6.083356192230527,8.862314895239475,7.612696923370232,PENDING,PENDING
BERGEPAINT,0.483,10.0,458.5,18.8,221.5,518.2459973144531,-4.499063909376078,-4.249766282579193,-10.08040684678242,PENDING,PENDING
BDL,0.432,37.82,1282.6,39.2,2508.5,1437.2853588867188,-1.290905163987044,-18.014866013150943,-16.036103234018306,PENDING,PENDING
BEL,0.418,50.91,437.55,66.7,9419.5,411.1310009765625,-0.3756886084248845,-3.410598721198943,4.752208524259971,PENDING,PENDING
BHARATFORG,0.423,57.17,1676.4,82.8,1786.9,1455.6680004882812,5.3676948091805565,14.892745696939835,16.05399961329612,PENDING,PENDING
BHEL,0.464,25.0,260.65,55.2,3247.6,273.4360003662109,-4.418781727592524,0.38513384306053666,-2.7062337309352036,PENDING,PENDING
BPCL,0.448,56.61,387.6,85.1,2797.0,357.6886260986328,1.3465796135722075,9.985843114902671,11.089539070598132,PENDING,PENDING
BHARTIARTL,0.484,49.88,2012.1,53.4,14056.0,2054.2519970703124,-0.6762796382650316,2.7787723231794903,-1.560666556460999,PENDING,PENDING
BHARTIHEXA,0.486,47.02,1689.3,54.9,378.0,1705.63,4.840811620202468,10.037786774199663,-0.9730919367117785,PENDING,PENDING
BIKAJI,0.474,45.48,666.5,52.2,130.2,704.6490026855469,1.345696838348398,0.7101862033429995,-5.131305731883684,PENDING,PENDING
BIOCON,0.465,50.07,375.2,59.3,1077.3,381.84499755859383,1.804375155154836,1.2685593001434015,0.9144767417140764,PENDING,PENDING
BSOFT,0.441,77.22,465.05,68.5,591.5,429.7250000000001,5.609170284341225,15.526022083037216,12.507555564546413,PENDING,PENDING
BLUEDART,0.403,43.84,5836.0,80.1,109.5,5498.92,2.269341978445638,6.022345353801439,8.74871890431379,PENDING,PENDING
BLUEJET,0.483,44.94,442.15,49.6,148.5,497.08699890136717,7.084039823777055,6.247747298169459,-13.227356591335882,PENDING,PENDING
BLUESTARCO,0.421,64.05,1962.2,79.7,951.6,1789.443994140625,4.361238279412349,15.321772034785486,9.418384974345017,PENDING,PENDING
BBTC,0.423,28.47,1854.2,69.6,73.3,1825.0419995117188,5.676506153642036,7.539728783291277,2.8739417474570983,PENDING,PENDING
BOSCHLTD,0.475,41.61,36570.0,60.1,832.7,36656.5,-0.38136747480250754,1.0639767859610405,-2.8943175783324504,PENDING,PENDING
FIRSTCRY,0.472,51.3,275.4,51.0,266.6,282.095,1.287237984026035,1.1570225515094013,2.2461435514665062,PENDING,PENDING
BRIGADE,0.483,41.19,802.45,57.1,403.4,839.417001953125,0.899034895486972,9.124911790148293,-8.002291521119954,PENDING,PENDING
BRITANNIA,0.46,36.87,6019.0,61.9,2281.2,5943.92,2.381357373703019,4.705575367487169,1.2702952805585976,PENDING,PENDING
MAPMYINDIA,0.464,47.97,1275.4,42.7,107.2,1536.7040087890625,-0.8242593768225115,-3.224827317147627,-17.71081977392538,PENDING,PENDING
CCL,0.478,61.91,1014.15,67.3,260.8,962.0400231933594,1.3999385101114648,9.008870114659896,7.864144609507573,PENDING,PENDING
CESC,0.468,41.43,155.94,65.4,343.0,161.16460052490234,2.034941158863224,9.087097426009283,-4.4836410092634065,PENDING,PENDING
CGPOWER,0.393,60.01,685.6,74.1,3196.2,632.5852941894532,2.389486347576275,18.070826708218092,17.294846506227145,PENDING,PENDING
CRISIL,0.471,55.53,4695.6,56.5,182.9,4536.236025390625,0.16211812406676795,1.6209643382562033,-1.2948813404352277,PENDING,PENDING
CAMPUS,0.411,59.55,277.7,67.1,155.1,261.6880001831055,2.039323327215614,9.741161374430662,10.1328649331778,PENDING,PENDING
CANFINHOME,0.496,47.93,898.8,50.1,215.8,915.496005859375,-4.061481430809788,-0.7618443547602882,1.2276115642748442,PENDING,PENDING
CANBK,0.487,48.81,145.51,41.2,4431.6,150.37,-1.3491562665519097,-7.753271561067709,-3.006272255154774,PENDING,PENDING
CAPLIPOINT,0.532,46.63,1746.7,50.8,134.8,1853.9859985351563,-8.525794649286468,-0.7782363696994032,-3.1440652364751798,PENDING,PENDING
CGCL,0.484,34.96,177.61,61.8,191.0,179.36839996337892,3.4119363087927512,1.0870823536052843,-2.2670969097277838,PENDING,PENDING
CARBORUNIV,0.486,44.86,844.65,57.9,226.6,833.0900219726562,5.049441855292658,1.4199418907812067,5.143574632604264,PENDING,PENDING
CASTROLIND,0.468,48.68,186.88,53.0,409.3,187.11839996337892,-0.27215673648383065,0.8526723178808426,-0.15493577441351158,PENDING,PENDING
CEATLTD,0.424,50.8,4065.6,81.0,629.9,3821.2740087890625,3.9875220203956063,9.973226353214294,7.926734740011954,PENDING,PENDING
CENTRALBK,0.468,51.67,37.81,58.3,295.5,37.02271842956543,1.4761220518895168,1.803990292550517,2.1068490751662505,PENDING,PENDING
CDSL,0.487,47.42,1397.2,57.1,2749.0,1436.2279956054688,2.261575147439454,2.969999707621418,-1.4321022100969971,PENDING,PENDING
CENTURYPLY,0.481,25.25,778.35,58.7,100.5,798.8670031738282,-2.3706521685873283,1.519494351561379,1.018815780134652,PENDING,PENDING
CERA,0.436,46.6,5216.4,59.1,88.5,5196.106005859375,0.6230551895034298,4.453342057343823,1.8529708550961699,PENDING,PENDING
CHALET,0.453,49.01,878.7,59.1,106.7,871.3370007324219,0.9014223851601999,6.606006940495157,1.9255349833192215,PENDING,PENDING
CHAMBLFERT,0.461,30.57,465.45,72.5,442.8,446.42399963378904,6.267126074664686,5.4605201699857275,6.620095114461022,PENDING,PENDING
CHENNPETRO,0.436,55.63,926.4,77.2,1251.6,868.9119995117187,5.165171840046723,9.007477911068552,14.575479364334543,PENDING,PENDING
CHOICEIN,0.461,44.32,776.4,47.8,414.0,789.267998046875,-0.9125089005547204,4.382903624108114,-4.201368039990927,PENDING,PENDING
CHOLAHLDNG,0.465,40.19,1773.9,67.4,420.8,1800.2719970703124,3.3379966004349004,8.409214170987944,-2.5383194215472638,PENDING,PENDING
CHOLAFIN,0.42,38.65,1723.0,62.5,2597.7,1699.6107788085938,-0.8744720171272036,5.345100194833141,0.7884379195110203,PENDING,PENDING
CIPLA,0.48,42.4,1349.9,43.1,2861.1,1440.3520068359376,1.7487053664014152,1.6184883773608272,-7.869228132692396,PENDING,PENDING
CUB,0.412,54.24,290.7,56.2,558.9,282.0090008544922,-0.4792858155532653,-0.8864560839234481,10.51131940588579,PENDING,PENDING
CLEAN,0.486,42.1,783.2,32.2,261.6,862.7130090332031,-2.0229007109018093,-8.598434186372895,-8.181561951467264,PENDING,PENDING
COALINDIA,0.507,53.16,423.25,54.2,3813.3,410.95000000000005,-2.678775364447883,-4.684154569252341,-2.0934508555440656,PENDING,PENDING
COCHINSHIP,0.494,42.65,1513.7,55.3,1315.7,1569.0989916992187,0.7655438938757086,-6.51229317924834,-2.904647555106077,PENDING,PENDING
COFORGE,0.516,39.71,1520.4,32.9,3536.9,1725.6297021484374,-5.793419579006809,-10.044104336591797,-10.197819619216375,PENDING,PENDING
COHANCE,0.468,35.71,355.25,36.6,229.0,469.0689996337891,-3.13565098841172,-6.880733944954132,-25.351963741089612,PENDING,PENDING
COLPAL,0.463,51.39,2173.4,59.9,843.4,2120.1579907226565,2.702955887519032,0.8819161186987667,3.668013467386122,PENDING,PENDING
CAMS,0.463,45.93,747.1,65.9,851.0,733.8278332519532,1.5495396479208168,5.8375477168747025,5.673692249332363,PENDING,PENDING
CONCORDBIO,0.491,43.7,1244.8,51.3,388.7,1312.2219897460936,5.4825925413703125,4.569894430306243,-6.847264585542845,PENDING,PENDING
CONCOR,0.462,41.8,515.15,62.2,719.8,507.5683642578125,-1.6198846721095284,4.48490488993436,1.0838810465073179,PENDING,PENDING
COROMANDEL,0.468,48.86,2277.8,53.8,560.9,2290.050927734375,0.15830172076096716,1.3328663049912315,-0.10576303619359573,PENDING,PENDING
CRAFTSMAN,0.465,53.22,8119.0,64.3,375.0,7426.1,3.446518443014579,4.357326478149104,6.534575515024277,PENDING,PENDING
CREDITACC,0.398,38.34,1272.2,42.8,2904.3,1297.4939990234375,-4.696986448083173,-1.5553738990010113,-1.471499436067658,PENDING,PENDING
CROMPTON,0.436,58.03,266.04,75.0,958.9,249.0688003540039,9.005986727116632,18.03017557626976,5.928733828508337,PENDING,PENDING
CUMMINSIND,0.405,39.5,4363.2,72.8,2293.3,4268.3079443359375,4.300990049085174,8.922478142115642,10.273494700578944,PENDING,PENDING
CYIENT,0.531,35.92,1061.9,39.2,367.0,1139.5119995117188,-7.524167964830831,-5.034871151515441,-7.877151956630357,PENDING,PENDING
DCMSHRIRAM,0.439,35.04,1147.0,65.3,62.5,1194.9503735351564,-1.8315665839526485,-0.8385883618347023,-2.5347315469483322,PENDING,PENDING
DLF,0.43,40.56,672.05,69.8,2905.4,671.5760021972657,1.8489069725580842,7.433458701527407,1.8797791131623942,PENDING,PENDING
DOMS,0.464,45.89,2461.9,56.5,90.0,2513.847998046875,-0.26332848230257166,4.681514211656146,-0.2916121269986083,PENDING,PENDING
DABUR,0.491,56.37,522.35,54.8,877.9,507.5600018310547,4.219864897004388,1.279685038475531,-0.3148901553554406,PENDING,PENDING
DALBHARAT,0.476,57.29,2175.2,43.5,815.7,2093.929987792969,1.5878946747309497,4.8592389883086895,4.899684063019727,PENDING,PENDING
DATAPATTNS,0.438,56.38,2832.7,72.6,2328.8,2605.08,8.176118747847472,8.507616839324506,8.242260266407154,PENDING,PENDING
DEEPAKFERT,0.481,43.07,1061.9,41.1,424.0,1191.4600012207031,1.6950846648023044,-9.347788775638122,-12.123468805045412,PENDING,PENDING
DEEPAKNTR,0.46,54.25,1672.8,60.5,297.1,1614.8019995117188,2.871906644323019,6.520633139461984,6.25674883725762,PENDING,PENDING
DELHIVERY,0.502,45.92,429.5,75.9,1104.3,409.90000183105474,-4.193617734750177,5.334150827713069,8.624179724302937,PENDING,PENDING
DEVYANI,0.502,52.48,135.52,61.1,999.4,132.30719985961915,9.946456209436327,18.44083765178941,-0.1620754470311292,PENDING,PENDING
DIVISLAB,0.423,23.55,6386.5,62.3,2403.1,6311.77,5.483524651085969,3.207821590174542,-1.5264821524940242,PENDING,PENDING
DIXON,0.478,31.41,11741.0,70.4,8596.8,12008.32,0.5394759376605496,14.223173460453342,-0.8528964701908448,PENDING,PENDING
AGARWALEYE,0.471,44.56,457.8,43.4,94.1,485.88700073242194,1.6542648136971039,4.175668466540516,-9.256692211502715,PENDING,PENDING
LALPATHLAB,0.465,41.72,1443.8,62.7,415.6,1430.5771044921876,2.8860542001563294,3.35625282255414,4.808185303578916,PENDING,PENDING
DRREDDY,0.446,45.56,1270.3,69.3,2386.3,1242.6159985351562,2.427035868515248,3.9100244440184007,4.508436760849444,PENDING,PENDING
EIDPARRY,0.5,47.32,923.9,53.5,151.9,975.5730004882812,1.3159337294360363,2.5985590687465088,-1.691845454929819,PENDING,PENDING
EIHOTEL,0.467,43.87,340.1,55.3,759.1,352.5510003662109,2.3164898761788733,7.848422235918928,-1.5059316169367731,PENDING,PENDING
EICHERMOT,0.424,44.63,7771.0,69.1,3668.0,7250.59,6.78117485400207,9.899589874133795,4.50511027434104,PENDING,PENDING
ELECON,0.452,51.78,455.3,69.8,292.8,450.30900207519534,-0.0877824014366646,16.893450011031796,11.075870839839453,PENDING,PENDING
ELGIEQUIP,0.408,53.52,497.5,74.7,244.5,465.5870001220704,1.0049766175431962,15.348948314556488,12.991145535513148,PENDING,PENDING
EMAMILTD,0.448,37.92,500.9,63.5,364.4,507.15010803222657,3.6076842244865848,3.8517909136798645,-1.1311479912748834,PENDING,PENDING
EMCURE,0.491,51.24,1498.8,42.3,275.9,1461.1200024414063,-2.351943124094902,4.387797594199805,-2.7132239010918213,PENDING,PENDING
ENDURANCE,0.445,45.05,2607.1,64.3,205.7,2547.5739990234374,6.560123992218947,8.865042780169151,1.3213632859043978,PENDING,PENDING
ENGINERSIN,0.481,48.45,184.28,55.4,397.2,190.31845306396485,4.230766741191361,6.348107154600391,-5.273977002633778,PENDING,PENDING
ERIS,0.454,44.47,1469.2,63.1,74.2,1498.713994140625,2.942825212789124,8.757119299714544,-2.6246087204866653,PENDING,PENDING
ESCORTS,0.485,46.46,3695.0,56.1,522.9,3681.8200146484373,2.6445899739033107,6.098888657549084,-1.5034361521551798,PENDING,PENDING
ETERNAL,0.465,67.01,300.7,57.9,18656.1,284.8770001220703,2.226761328049509,12.91777168266577,5.749958063149663,PENDING,PENDING
EXIDEIND,0.479,38.06,341.1,61.9,655.0,352.5820001220703,-0.11712852020040465,6.2120543628164215,-2.4592524459004617,PENDING,PENDING
NYKAA,0.465,68.18,277.54,81.5,2301.2,254.31360046386717,10.56049471957028,17.006750470356046,9.808114162184722,PENDING,PENDING
FEDERALBNK,0.477,66.72,290.5,65.6,3608.9,268.53800231933593,1.0786381939284828,2.1269072010323464,14.86753934794709,PENDING,PENDING
FACT,0.458,41.47,808.9,53.8,117.1,842.7730004882812,0.942166226760599,-1.2814253950637067,-6.355633729421218,PENDING,PENDING
FINCABLES,0.453,50.35,818.55,78.4,177.7,756.14900390625,9.8798542694007,12.763460567960738,8.173645379698424,PENDING,PENDING
FINPIPE,0.48,52.86,181.52,60.9,57.8,172.77759948730468,1.8630793384261546,4.967334736886664,4.3278340948111005,PENDING,PENDING
FSL,0.498,31.89,285.35,30.7,219.1,327.405,-6.319763497791286,-10.814191212196878,-8.380158959880236,PENDING,PENDING
FIVESTAR,0.554,18.8,432.25,23.0,859.0,525.0160040283204,-6.358320128993622,-13.774185013841588,-14.768805047402289,PENDING,PENDING
FORCEMOT,0.524,60.77,24927.0,75.8,2220.2,19406.9,24.206487617718864,31.923789362265143,25.26130653266332,PENDING,PENDING
FORTIS,0.462,32.38,918.85,75.5,1522.0,882.5709973144532,6.8616621126022626,8.220951510099873,2.860180022625314,PENDING,PENDING
GAIL,0.46,48.16,163.47,59.4,2206.7,162.70386993408204,1.907610179374708,0.2529913762085112,1.2100708138046645,PENDING,PENDING
GVT&D,0.53,74.16,3671.6,94.0,2882.4,3023.6639990234376,4.592074971426285,26.388987871127355,35.07468779378586,PENDING,PENDING
GMRAIRPORT,0.449,41.88,96.81,59.9,1364.8,100.09259948730468,-1.294865669607681,3.0880564193338067,-3.0736882050916736,PENDING,PENDING
GRSE,0.442,47.95,2483.6,59.6,3351.3,2432.7176513671875,-1.5382098869988092,-1.119911726652001,0.40690512850882765,PENDING,PENDING
GICRE,0.465,60.5,393.25,66.5,213.5,374.8299993896485,5.133007040133397,4.768880672816045,6.51408098531765,PENDING,PENDING
GILLETTE,0.464,55.54,8724.0,72.4,347.6,8092.979833984375,0.28738935509828867,13.181375814830742,13.563865608231062,PENDING,PENDING
GLAND,0.432,48.05,1868.4,71.9,502.1,1731.1339990234376,-1.1271591950141935,10.575846505662255,11.174583574693253,PENDING,PENDING
GLAXO,0.484,63.98,2699.3,78.2,212.1,2465.9820166015625,12.139086008778154,10.890645919560772,12.606897453608589,PENDING,PENDING
GLENMARK,0.461,52.69,2015.2,58.1,916.2,1992.68,2.8530547108996496,1.0885352983132757,-0.11400489854398455,PENDING,PENDING
MEDANTA,0.461,45.83,1146.2,65.1,172.4,1148.7539990234375,2.084066737276391,9.265962933448524,-3.987275566203563,PENDING,PENDING
GODIGIT,0.498,44.98,321.3,50.8,162.6,335.9829998779297,1.6611296322653457,-2.695343453979737,-4.18965798563603,PENDING,PENDING
GPIL,0.452,45.95,258.21,60.5,432.8,251.48219970703124,-0.7571686048734705,0.39268242617107596,1.3780897325841757,PENDING,PENDING
GODFRYPHLP,0.465,46.85,2134.8,55.2,1481.5,2404.850021972656,4.406519284387467,5.599528819215482,0.19712526890875992,PENDING,PENDING
GODREJAGRO,0.455,53.65,591.3,76.2,100.5,562.5370031738281,5.882348440841145,11.376899717713851,7.960557716667838,PENDING,PENDING
GODREJCP,0.485,50.54,1208.6,48.0,1588.6,1188.9029174804687,4.577314757210305,3.588781190229051,-1.8076841676615607,PENDING,PENDING
GODREJIND,0.482,48.36,1015.95,52.6,69.1,1008.9199963378907,0.7537102003376761,2.2288211598043173,0.370480137796414,PENDING,PENDING
GODREJPROP,0.437,50.23,1852.1,69.3,3210.2,1900.1440112304688,8.20237357125242,19.46719455926893,-4.076034351146496,PENDING,PENDING
GRANULES,0.472,40.53,578.85,62.3,520.7,581.5639978027343,-0.6607236211496503,2.4694548714782716,-3.8375340398114077,PENDING,PENDING
GRAPHITE,0.488,78.69,666.95,58.6,892.8,603.01400390625,4.644235938642893,0.7857970845532636,7.763772159883109,PENDING,PENDING
GRASIM,0.444,53.03,2932.6,69.2,2052.1,2810.447998046875,3.082716380996353,3.293297058359679,4.485700241374513,PENDING,PENDING
GRAVITA,0.471,45.3,1692.2,64.3,327.5,1726.0080078125,1.7987066994811451,8.837142914120077,4.58590551124074,PENDING,PENDING
GESHIP,0.446,69.22,1348.9,98.0,685.8,1130.2485278320312,8.887630872317898,15.78602856418665,23.533169318373524,PENDING,PENDING
